,Opening,High,Low,Fenced,Volume
2015-11-17,"3,23","3,23","3,23","3,23",0
2015-11-18,"3,19","3,19","3,19","3,19",0
2015-11-19,"3,30","3,30","3,30","3,30",0
2015-11-20,"3,31","3,31","3,31","3,31",0
2015-11-23,"3,21","3,21","3,21","3,21",0
2015-11-24,"3,26","3,26","3,26","3,26",0
2015-11-25,"3,27","3,27","3,27","3,27",0
2015-11-26,"3,29","3,29","3,29","3,29",0
2015-11-27,"3,25","3,25","3,25","3,25",0
2015-11-30,"3,24","3,24","3,24","3,24",0
2015-12-01,"3,28","3,28","3,28","3,28",0
2015-12-02,"3,30","3,30","3,30","3,30",0
2015-12-03,"3,32","3,32","3,32","3,32",0
2015-12-04,"3,38","3,38","3,38","3,38",0
2015-12-07,"3,38","3,38","3,38","3,38",0
2015-12-08,"3,27","3,27","3,27","3,27",0
2015-12-09,"3,35","3,35","3,35","3,35",0
2015-12-10,"3,33","3,33","3,33","3,33",0
2015-12-11,"3,32","3,32","3,32","3,32",0
2015-12-14,"3,29","3,29","3,29","3,29",0
2015-12-15,"3,22","3,22","3,22","3,22",0
2015-12-16,"3,29","3,29","3,29","3,29",0
2015-12-17,"3,18","3,18","3,18","3,18",0
2015-12-18,"3,20","3,20","3,20","3,20",0
2015-12-21,"3,26","3,26","3,26","3,26",0
2015-12-22,"3,30","3,30","3,30","3,30",0
2015-12-23,"3,33","3,33","3,33","3,33",0
2015-12-28,"3,37","3,37","3,37","3,37",0
2015-12-29,"3,34","3,34","3,34","3,34",0
2015-12-30,"3,28","3,28","3,28","3,28",0
2015-12-31,"3,29","3,29","3,29","3,29",0
2016-01-04,"3,36","3,36","3,36","3,36",0
2016-01-05,"3,35","3,35","3,35","3,35",0
2016-01-06,"3,39","3,39","3,39","3,39",0
2016-01-07,"3,41","3,41","3,41","3,41",0
2016-01-08,"3,42","3,42","3,42","3,42",0
2016-01-12,"3,24","3,24","3,24","3,24",0
2016-01-13,"3,25","3,25","3,25","3,25",0
2016-01-15,"3,19","3,19","3,19","3,19",0
2016-01-18,"3,12","3,12","3,12","3,12",0
2016-01-19,"3,09","3,09","3,09","3,09",0
2016-01-20,"3,05","3,05","3,05","3,05",0
2016-01-21,"3,03","3,03","3,03","3,03",0
2016-01-22,"3,10","3,10","3,10","3,10",0
2016-01-25,"3,17","3,17","3,17","3,17",0
2016-01-26,"3,24","3,24","3,24","3,24",0
2016-01-27,"3,28","3,28","3,28","3,28",0
2016-01-28,"3,29","3,29","3,29","3,29",0
2016-01-29,"3,29","3,29","3,29","3,29",0
2016-02-01,"3,43","3,43","3,43","3,43",0
2016-02-02,"3,40","3,40","3,40","3,40",0
2016-02-03,"3,46","3,46","3,46","3,46",0
2016-02-04,"3,72","3,72","3,72","3,72",0
2016-02-05,"3,75","3,75","3,75","3,75",0
2016-02-08,"3,97","3,97","3,97","3,97",0
2016-02-09,"3,94","3,94","3,94","3,94",0
2016-02-10,"3,81","3,81","3,81","3,81",0
2016-02-11,"4,00","4,00","4,00","4,00",0
2016-02-12,"4,05","4,05","4,05","4,05",0
2016-02-15,"4,16","4,16","4,16","4,16",0
2016-02-16,"4,01","4,01","4,01","4,01",0
2016-02-17,"3,99","3,99","3,99","3,99",0
2016-02-18,"4,04","4,04","4,04","4,04",0
2016-02-19,"4,20","4,20","4,20","4,20",0
2016-02-22,"4,17","4,17","4,17","4,17",0
2016-02-23,"4,30","4,30","4,30","4,30",0
2016-02-24,"4,36","4,36","4,36","4,36",0
2016-02-25,"4,30","4,30","4,30","4,30",0
2016-02-26,"4,30","4,30","4,30","4,30",0
2016-02-29,"4,28","4,28","4,28","4,28",0
2016-03-01,"4,30","4,30","4,30","4,30",0
2016-03-02,"4,20","4,20","4,20","4,20",0
2016-03-03,"4,30","4,30","4,30","4,30",0
2016-03-04,"4,58","4,58","4,58","4,58",0
2016-03-07,"4,55","4,55","4,55","4,55",0
2016-03-08,"4,45","4,45","4,45","4,45",0
2016-03-09,"4,30","4,30","4,30","4,30",0
2016-03-10,"4,51","4,51","4,51","4,51",0
2016-03-11,"4,59","4,59","4,59","4,59",0
2016-03-14,"4,42","4,42","4,42","4,42",0
2016-03-15,"4,32","4,32","4,32","4,32",0
2016-03-16,"4,35","4,35","4,35","4,35",0
2016-03-17,"4,76","4,76","4,76","4,76",0
2016-03-18,"4,62","4,62","4,62","4,62",0
2016-03-22,"4,65","4,65","4,65","4,65",0
2016-03-23,"4,40","4,40","4,40","4,40",0
2016-03-24,"4,38","4,38","4,38","4,38",0
2016-03-29,"4,36","4,36","4,36","4,36",0
2016-03-30,"4,54","4,54","4,54","4,54",0
2016-03-31,"4,56","4,56","4,56","4,56",0
2016-04-01,"4,39","4,39","4,39","4,39",0
2016-04-04,"4,45","4,45","4,45","4,45",0
2016-04-05,"4,41","4,41","4,41","4,41",0
2016-04-06,"4,45","4,45","4,45","4,45",0
2016-04-07,"4,59","4,59","4,59","4,59",0
2016-04-08,"4,67","4,67","4,67","4,67",0
2016-04-12,"4,92","4,92","4,92","4,92",0
2016-04-13,"4,97","4,97","4,97","4,97",0
2016-04-14,"4,91","4,91","4,91","4,91",0
2016-04-15,"4,78","4,78","4,78","4,78",0
2016-04-18,"4,88","4,88","4,88","4,88",0
2016-04-19,"5,09","5,09","5,09","5,09",0
2016-04-20,"5,19","5,19","5,19","5,19",0
2016-04-21,"5,10","5,10","5,10","5,10",0
2016-04-22,"5,13","5,13","5,13","5,13",0
2016-04-25,"5,03","5,03","5,03","5,03",0
2016-04-26,"4,98","4,98","4,98","4,98",0
2016-04-27,"5,06","5,06","5,06","5,06",0
2016-04-28,"5,20","5,20","5,20","5,20",0
2016-04-29,"5,44","5,44","5,44","5,44",0
2016-05-02,"5,60","5,60","5,60","5,60",0
2016-05-03,"5,44","5,44","5,44","5,44",0
2016-05-04,"5,27","5,27","5,27","5,27",0
2016-05-06,"5,39","5,39","5,39","5,39",0
2016-05-09,"5,20","5,20","5,20","5,20",0
2016-05-10,"5,15","5,15","5,15","5,15",0
2016-05-11,"5,44","5,44","5,44","5,44",0
2016-05-12,"5,51","5,51","5,51","5,51",0
2016-05-13,"5,39","5,39","5,39","5,39",0
2016-05-17,"5,52","5,52","5,52","5,52",0
2016-05-18,"5,52","5,52","5,52","5,52",0
2016-05-19,"5,13","5,13","5,13","5,13",0
2016-05-20,"5,22","5,22","5,22","5,22",0
